stn_id,stn_addr,stn_lat,stn_lng,nearby_id,nearby_km
ST-917,서울특별시 금천구 벚꽃로 309,37.480148,126.883781,ST-1938,0.08230938433018455
ST-916,서울특별시 도봉구 도봉로 683,37.665665,127.042671,ST-2089,0.10092469045108893
ST-915,서울특별시 노원구 동일로 지하 1662,37.676941,127.055099,ST-869,0.08470052458392582
ST-914,서울특별시 노원구 상계로 182,37.66,127.072968,ST-2077,0.156052041464527
ST-913,서울특별시 노원구 석계로 98-2,37.622662,127.061897,ST-2060,0.22570885858669107
ST-912,서울특별시 중랑구 면목로 456,37.592541,127.086739,ST-851,0.07825856419354567
ST-911,서울특별시 성북구 월곡로 지하 107,37.601841,127.041718,ST-910,0.08771205417798213
ST-910,서울특별시 성북구 월곡로 지하 107,37.602627,127.041634,ST-911,0.08771205417798213
ST-91,서울특별시 마포구 매봉산로 37,37.575802,126.890739,ST-2537,0.1741608552705368
ST-909,서울특별시 송파구 올림픽로4길 15 아시아선수촌아파트,37.506779,127.07917,ST-2602,0.00881793229516331
ST-908,서울특별시 송파구 위례성대로 114,37.513962,127.121674,ST-1086,0.12694875200172084
ST-907,서울특별시 송파구 법원로 101,37.478821,127.123512,ST-2985,0.19243981766574442
ST-906,서울특별시 송파구 송파대로 지하 82,37.477509,127.126328,ST-2599,0.22875268990515224
ST-905,서울특별시 송파구 법원로 101,37.479465,127.125328,ST-2599,0.12879616185036716
ST-904,서울특별시 송파구 법원로 101,37.481537,127.122124,ST-901,0.20798862996362538
ST-903,서울특별시 송파구 법원로 101,37.484531,127.120163,ST-902,0.3341895382825575
ST-902,서울특별시 송파구 문정동 398-1,37.481632,127.119164,ST-901,0.0709187424688704
ST-901,서울특별시 송파구 새말로 62,37.481239,127.119797,ST-902,0.0709187424688704
ST-900,서울특별시 송파구 새말로 62,37.480576,127.118568,ST-899,0.05742055827116064
ST-90,서울특별시 마포구 월드컵북로 366,37.577995,126.891472,ST-2537,0.13707703149966954
ST-9,서울특별시 마포구 월드컵북로 35,37.55751,126.918503,ST-2531,0.0382337476059066
ST-899,서울특별시 송파구 정의로 30,37.480843,127.118011,ST-900,0.05742055827116064
ST-898,서울특별시 송파구 법원로 101,37.483761,127.117081,ST-2984,0.03402968098346223
ST-897,서울특별시 송파구 동남로 203,37.49567,127.130592,ST-1077,0.30875910143187374
ST-896,서울특별시 송파구 거마로 51,37.4977,127.146202,ST-3232,0.0647490994706233
ST-895,서울특별시 송파구 오금로 지하 499,37.493126,127.143822,ST-930,0.08366338270687547
ST-894,서울특별시 송파구 올림픽로35길 16,37.520077,127.112366,ST-2608,0.19509696514624222
ST-893,서울특별시 송파구 마천로57길 지하 7,37.495461,127.15329,ST-2941,0.2166262898937525
ST-892,서울특별시 송파구 양재대로 지하 1127,37.508968,127.125839,ST-3132,0.07178743958009884
ST-891,서울특별시 송파구 올림픽로 293-19,37.513126,127.10096,ST-1584,0.10949499362736587
ST-890,서울특별시 서초구 매헌로 16,37.463322,127.036041,ST-1363,0.18700172576209848
ST-89,서울특별시 마포구 월드컵로 지하240,37.570721,126.898979,ST-87,0.25891551413305763
ST-889,서울특별시 서초구 태봉로 131,37.4692,127.029007,ST-879,0.3585925186328045
ST-888,서울특별시 관악구 인헌3가길 8,37.473881,126.967361,ST-1260,0.33872504455393654
ST-887,서울특별시 관악구 남부순환로 지하 1928,37.477028,126.963394,ST-2872,0.07831266005903109
ST-886,서울특별시 관악구 신림로 67,37.470696,126.9422,ST-1267,0.24934233633922634
ST-885,서울특별시 관악구 신림로 137,37.472294,126.933411,ST-3143,0.044951413892257985
ST-884,서울특별시 관악구 관악로 217,37.484257,126.954697,ST-3166,0.1122705424895773
ST-883,서울특별시 관악구 남부순환로 1369,37.479916,126.90284,ST-2640,0.07311815317364408
ST-882,서울특별시 관악구 봉천동 962,37.486202,126.935814,ST-723,0.15789304868066628
